BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-42_AastronyxisUnknown,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AastronyxisUnknown/gff/data/AmoebaDB-42_AastronyxisUnknown.gff,42,Acanthamoeba astronyxis,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.astronyxis.Unknown.v42,GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda,amoebadb.Acanthamoeba.astronyxis.Unknown.v42,org.Aastronyxis.Unknown.v42.eg.db,TxDb.Acanthamoeba.astronyxis.Unknown.AmoebaDB.v42,Unknown,Acanthamoeba astronyxis Unknown,Acanthamoeba astronyxis Unknown,Transcript information for Acanthamoeba astronyxis Unknown,AmoebaDB 42 transcript information for Acanthamoeba astronyxis Unknown,GRanges,GRanges,GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda
3.9,AmoebaDB-42_AcastellaniiMa,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AcastellaniiMa/gff/data/AmoebaDB-42_AcastellaniiMa.gff,42,Acanthamoeba castellanii,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.Ma.v42,GRanges.Acanthamoeba.castellanii.Ma.v42.rda,amoebadb.Acanthamoeba.castellanii.Ma.v42,org.Acastellanii.Ma.v42.eg.db,TxDb.Acanthamoeba.castellanii.Ma.AmoebaDB.v42,Ma,Acanthamoeba castellanii Ma,Acanthamoeba castellanii Ma,Transcript information for Acanthamoeba castellanii Ma,AmoebaDB 42 transcript information for Acanthamoeba castellanii Ma,GRanges,GRanges,GRanges.Acanthamoeba.castellanii.Ma.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.castellanii.Ma.v42.rda
3.9,AmoebaDB-42_AculbertsoniA1,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AculbertsoniA1/gff/data/AmoebaDB-42_AculbertsoniA1.gff,42,Acanthamoeba culbertsoni,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.culbertsoni.A1.v42,GRanges.Acanthamoeba.culbertsoni.A1.v42.rda,amoebadb.Acanthamoeba.culbertsoni.A1.v42,org.Aculbertsoni.A1.v42.eg.db,TxDb.Acanthamoeba.culbertsoni.A1.AmoebaDB.v42,A1,Acanthamoeba culbertsoni A1,Acanthamoeba culbertsoni A1,Transcript information for Acanthamoeba culbertsoni A1,AmoebaDB 42 transcript information for Acanthamoeba culbertsoni A1,GRanges,GRanges,GRanges.Acanthamoeba.culbertsoni.A1.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.culbertsoni.A1.v42.rda
3.9,AmoebaDB-42_AlenticulataPD2S,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlenticulataPD2S/gff/data/AmoebaDB-42_AlenticulataPD2S.gff,42,Acanthamoeba lenticulata,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lenticulata.PD2S.v42,GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda,amoebadb.Acanthamoeba.lenticulata.PD2S.v42,org.Alenticulata.PD2S.v42.eg.db,TxDb.Acanthamoeba.lenticulata.PD2S.AmoebaDB.v42,PD2S,Acanthamoeba lenticulata PD2S,Acanthamoeba lenticulata PD2S,Transcript information for Acanthamoeba lenticulata PD2S,AmoebaDB 42 transcript information for Acanthamoeba lenticulata PD2S,GRanges,GRanges,GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda
3.9,AmoebaDB-42_AlugdunensisL3a,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlugdunensisL3a/gff/data/AmoebaDB-42_AlugdunensisL3a.gff,42,Acanthamoeba lugdunensis,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lugdunensis.L3a.v42,GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda,amoebadb.Acanthamoeba.lugdunensis.L3a.v42,org.Alugdunensis.L3a.v42.eg.db,TxDb.Acanthamoeba.lugdunensis.L3a.AmoebaDB.v42,L3a,Acanthamoeba lugdunensis L3a,Acanthamoeba lugdunensis L3a,Transcript information for Acanthamoeba lugdunensis L3a,AmoebaDB 42 transcript information for Acanthamoeba lugdunensis L3a,GRanges,GRanges,GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda
3.9,AmoebaDB-42_Amauritaniensis1652,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/Amauritaniensis1652/gff/data/AmoebaDB-42_Amauritaniensis1652.gff,42,Acanthamoeba mauritaniensis,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.mauritaniensis.1652.v42,GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda,amoebadb.Acanthamoeba.mauritaniensis.1652.v42,org.Amauritaniensis.1652.v42.eg.db,TxDb.Acanthamoeba.mauritaniensis.1652.AmoebaDB.v42,1652,Acanthamoeba mauritaniensis 1652,Acanthamoeba mauritaniensis 1652,Transcript information for Acanthamoeba mauritaniensis 1652,AmoebaDB 42 transcript information for Acanthamoeba mauritaniensis 1652,GRanges,GRanges,GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda
3.9,AmoebaDB-42_ApalestinensisReich,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ApalestinensisReich/gff/data/AmoebaDB-42_ApalestinensisReich.gff,42,Acanthamoeba palestinensis,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.palestinensis.Reich.v42,GRanges.Acanthamoeba.palestinensis.Reich.v42.rda,amoebadb.Acanthamoeba.palestinensis.Reich.v42,org.Apalestinensis.Reich.v42.eg.db,TxDb.Acanthamoeba.palestinensis.Reich.AmoebaDB.v42,Reich,Acanthamoeba palestinensis Reich,Acanthamoeba palestinensis Reich,Transcript information for Acanthamoeba palestinensis Reich,AmoebaDB 42 transcript information for Acanthamoeba palestinensis Reich,GRanges,GRanges,GRanges.Acanthamoeba.palestinensis.Reich.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.palestinensis.Reich.v42.rda
3.9,AmoebaDB-42_AquinaVil3,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AquinaVil3/gff/data/AmoebaDB-42_AquinaVil3.gff,42,Acanthamoeba quina,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.quina.Vil3.v42,GRanges.Acanthamoeba.quina.Vil3.v42.rda,amoebadb.Acanthamoeba.quina.Vil3.v42,org.Aquina.Vil3.v42.eg.db,TxDb.Acanthamoeba.quina.Vil3.AmoebaDB.v42,Vil3,Acanthamoeba quina Vil3,Acanthamoeba quina Vil3,Transcript information for Acanthamoeba quina Vil3,AmoebaDB 42 transcript information for Acanthamoeba quina Vil3,GRanges,GRanges,GRanges.Acanthamoeba.quina.Vil3.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.quina.Vil3.v42.rda
3.9,AmoebaDB-42_ArhysodesSingh,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ArhysodesSingh/gff/data/AmoebaDB-42_ArhysodesSingh.gff,42,Acanthamoeba rhysodes,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.rhysodes.Singh.v42,GRanges.Acanthamoeba.rhysodes.Singh.v42.rda,amoebadb.Acanthamoeba.rhysodes.Singh.v42,org.Arhysodes.Singh.v42.eg.db,TxDb.Acanthamoeba.rhysodes.Singh.AmoebaDB.v42,Singh,Acanthamoeba rhysodes Singh,Acanthamoeba rhysodes Singh,Transcript information for Acanthamoeba rhysodes Singh,AmoebaDB 42 transcript information for Acanthamoeba rhysodes Singh,GRanges,GRanges,GRanges.Acanthamoeba.rhysodes.Singh.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.rhysodes.Singh.v42.rda
3.9,AmoebaDB-42_AspGalka,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspGalka/gff/data/AmoebaDB-42_AspGalka.gff,42,Acanthamoeba sp.,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Galka.v42,GRanges.Acanthamoeba.sp.Galka.v42.rda,amoebadb.Acanthamoeba.sp.Galka.v42,org.Asp.Galka.v42.eg.db,TxDb.Acanthamoeba.sp.Galka.AmoebaDB.v42,Galka,Acanthamoeba sp Galka,Acanthamoeba sp Galka,Transcript information for Acanthamoeba sp Galka,AmoebaDB 42 transcript information for Acanthamoeba sp Galka,GRanges,GRanges,GRanges.Acanthamoeba.sp.Galka.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.sp.Galka.v42.rda
3.9,AmoebaDB-42_AspIncertaesedis,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspIncertaesedis/gff/data/AmoebaDB-42_AspIncertaesedis.gff,42,Acanthamoeba sp.,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Incertae.sedis.v42,GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda,amoebadb.Acanthamoeba.sp.Incertae.sedis.v42,org.Asp.Incertae.sedis.v42.eg.db,TxDb.Acanthamoeba.sp.Incertae.sedis.AmoebaDB.v42,Incertae.sedis,Acanthamoeba sp Incertae sedis,Acanthamoeba sp Incertae sedis,Transcript information for Acanthamoeba sp Incertae sedis,AmoebaDB 42 transcript information for Acanthamoeba sp Incertae sedis,GRanges,GRanges,GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda
