BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,BsgenomeFile,GrangesFile,OrganismdbiFile,OrgdbFile,TxdbFile,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-44_AcastellaniiNeff,16130,12207,GFF,http://AmoebaDB.org/common/downloads/release-44/AcastellaniiNeff/gff/data/AmoebaDB-44_AcastellaniiNeff.gff,44,Acanthamoeba castellanii str. Neff,1257118,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.str.Neff.v44,GRanges.Acanthamoeba.castellanii.str.Neff.v44.rda,amoebadb.Acanthamoeba.castellanii.str.Neff.v44,org.Acastellanii.str.Neff.v44.eg.db,TxDb.Acanthamoeba.castellanii.str.Neff.AmoebaDB.v44,str.Neff,Acanthamoeba castellanii str Neff,,,EuPathDB/BSgenome/3.9/BSGenome.Acanthamoeba.castellanii.str.Neff.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.castellanii.str.Neff.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.castellanii.str.Neff.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Acastellanii.str.Neff.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Acanthamoeba.castellanii.str.Neff.AmoebaDB.v44.sqlite,Acanthamoeba castellanii str. Neff,Transcript information for Acanthamoeba castellanii str Neff,AmoebaDB 44 transcript information for Acanthamoeba castellanii str Neff,GRanges,GRanges,GRanges.Acanthamoeba.castellanii.str.Neff.v44.rda,EuPathDB/GRanges/3.9/GRanges.Acanthamoeba.castellanii.str.Neff.v44.rda
3.9,AmoebaDB-44_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-44/EdisparSAW760/gff/data/AmoebaDB-44_EdisparSAW760.gff,44,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.dispar.SAW760.v44,GRanges.Entamoeba.dispar.SAW760.v44.rda,amoebadb.Entamoeba.dispar.SAW760.v44,org.Edispar.SAW760.v44.eg.db,TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v44,SAW760,Entamoeba dispar SAW760,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.dispar.SAW760.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.dispar.SAW760.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.dispar.SAW760.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Edispar.SAW760.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v44.sqlite,Entamoeba dispar SAW760,Transcript information for Entamoeba dispar SAW760,AmoebaDB 44 transcript information for Entamoeba dispar SAW760,GRanges,GRanges,GRanges.Entamoeba.dispar.SAW760.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.dispar.SAW760.v44.rda
3.9,AmoebaDB-44_EhistolyticaDS4,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaDS4/gff/data/AmoebaDB-44_EhistolyticaDS4.gff,44,Entamoeba histolytica DS4-868,885310,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.DS4.868.v44,GRanges.Entamoeba.histolytica.DS4.868.v44.rda,amoebadb.Entamoeba.histolytica.DS4.868.v44,org.Ehistolytica.DS4.868.v44.eg.db,TxDb.Entamoeba.histolytica.DS4.868.AmoebaDB.v44,DS4.868,Entamoeba histolytica DS4 868,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.DS4.868.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.DS4.868.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.DS4.868.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.DS4.868.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.DS4.868.AmoebaDB.v44.sqlite,Entamoeba histolytica DS4-868,Transcript information for Entamoeba histolytica DS4 868,AmoebaDB 44 transcript information for Entamoeba histolytica DS4 868,GRanges,GRanges,GRanges.Entamoeba.histolytica.DS4.868.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.DS4.868.v44.rda
3.9,AmoebaDB-44_EhistolyticaHM1IMSS,8333,8306,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaHM1IMSS/gff/data/AmoebaDB-44_EhistolyticaHM1IMSS.gff,44,Entamoeba histolytica HM-1:IMSS,294381,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.v44,GRanges.Entamoeba.histolytica.HM.1IMSS.v44.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.v44,org.Ehistolytica.HM.1IMSS.v44.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v44,HM.1IMSS,Entamoeba histolytica HM 1IMSS,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.HM.1IMSS.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v44.sqlite,Entamoeba histolytica HM-1:IMSS,Transcript information for Entamoeba histolytica HM 1IMSS,AmoebaDB 44 transcript information for Entamoeba histolytica HM 1IMSS,GRanges,GRanges,GRanges.Entamoeba.histolytica.HM.1IMSS.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.v44.rda
3.9,AmoebaDB-44_EhistolyticaHM1IMSS-A,6331,6316,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-44_EhistolyticaHM1IMSS-A.gff,44,Entamoeba histolytica HM-1:IMSS-A,885318,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v44,GRanges.Entamoeba.histolytica.HM.1IMSS.A.v44.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v44,org.Ehistolytica.HM.1IMSS.A.v44.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v44,HM.1IMSS.A,Entamoeba histolytica HM 1IMSS A,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.A.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.HM.1IMSS.A.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v44.sqlite,Entamoeba histolytica HM-1:IMSS-A,Transcript information for Entamoeba histolytica HM 1IMSS A,AmoebaDB 44 transcript information for Entamoeba histolytica HM 1IMSS A,GRanges,GRanges,GRanges.Entamoeba.histolytica.HM.1IMSS.A.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.A.v44.rda
3.9,AmoebaDB-44_EhistolyticaHM1IMSS-B,6311,6248,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-44_EhistolyticaHM1IMSS-B.gff,44,Entamoeba histolytica HM-1:IMSS-B,885319,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v44,GRanges.Entamoeba.histolytica.HM.1IMSS.B.v44.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v44,org.Ehistolytica.HM.1IMSS.B.v44.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v44,HM.1IMSS.B,Entamoeba histolytica HM 1IMSS B,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.B.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.HM.1IMSS.B.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v44.sqlite,Entamoeba histolytica HM-1:IMSS-B,Transcript information for Entamoeba histolytica HM 1IMSS B,AmoebaDB 44 transcript information for Entamoeba histolytica HM 1IMSS B,GRanges,GRanges,GRanges.Entamoeba.histolytica.HM.1IMSS.B.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.B.v44.rda
3.9,AmoebaDB-44_EhistolyticaHM3IMSS,7362,7158,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaHM3IMSS/gff/data/AmoebaDB-44_EhistolyticaHM3IMSS.gff,44,Entamoeba histolytica HM-3:IMSS,885315,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.3IMSS.v44,GRanges.Entamoeba.histolytica.HM.3IMSS.v44.rda,amoebadb.Entamoeba.histolytica.HM.3IMSS.v44,org.Ehistolytica.HM.3IMSS.v44.eg.db,TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v44,HM.3IMSS,Entamoeba histolytica HM 3IMSS,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.HM.3IMSS.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.3IMSS.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.3IMSS.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.HM.3IMSS.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v44.sqlite,Entamoeba histolytica HM-3:IMSS,Transcript information for Entamoeba histolytica HM 3IMSS,AmoebaDB 44 transcript information for Entamoeba histolytica HM 3IMSS,GRanges,GRanges,GRanges.Entamoeba.histolytica.HM.3IMSS.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.HM.3IMSS.v44.rda
3.9,AmoebaDB-44_EhistolyticaKU27,7469,7415,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaKU27/gff/data/AmoebaDB-44_EhistolyticaKU27.gff,44,Entamoeba histolytica KU27,885311,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU27.v44,GRanges.Entamoeba.histolytica.KU27.v44.rda,amoebadb.Entamoeba.histolytica.KU27.v44,org.Ehistolytica.KU27.v44.eg.db,TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v44,KU27,Entamoeba histolytica KU27,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.KU27.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU27.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU27.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.KU27.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v44.sqlite,Entamoeba histolytica KU27,Transcript information for Entamoeba histolytica KU27,AmoebaDB 44 transcript information for Entamoeba histolytica KU27,GRanges,GRanges,GRanges.Entamoeba.histolytica.KU27.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU27.v44.rda
3.9,AmoebaDB-44_EhistolyticaKU48,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaKU48/gff/data/AmoebaDB-44_EhistolyticaKU48.gff,44,Entamoeba histolytica KU48,885312,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU48.v44,GRanges.Entamoeba.histolytica.KU48.v44.rda,amoebadb.Entamoeba.histolytica.KU48.v44,org.Ehistolytica.KU48.v44.eg.db,TxDb.Entamoeba.histolytica.KU48.AmoebaDB.v44,KU48,Entamoeba histolytica KU48,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.KU48.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU48.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU48.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.KU48.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.KU48.AmoebaDB.v44.sqlite,Entamoeba histolytica KU48,Transcript information for Entamoeba histolytica KU48,AmoebaDB 44 transcript information for Entamoeba histolytica KU48,GRanges,GRanges,GRanges.Entamoeba.histolytica.KU48.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU48.v44.rda
3.9,AmoebaDB-44_EhistolyticaKU50,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-44/EhistolyticaKU50/gff/data/AmoebaDB-44_EhistolyticaKU50.gff,44,Entamoeba histolytica KU50,885313,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU50.v44,GRanges.Entamoeba.histolytica.KU50.v44.rda,amoebadb.Entamoeba.histolytica.KU50.v44,org.Ehistolytica.KU50.v44.eg.db,TxDb.Entamoeba.histolytica.KU50.AmoebaDB.v44,KU50,Entamoeba histolytica KU50,,,EuPathDB/BSgenome/3.9/BSGenome.Entamoeba.histolytica.KU50.v44/single_sequences.2bit,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU50.v44.rda,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU50.v44/graphInfo.rda,EuPathDB/OrgDb/3.9/org.Ehistolytica.KU50.v44.eg.sqlite,EuPathDB/TxDb/3.9/TxDb.Entamoeba.histolytica.KU50.AmoebaDB.v44.sqlite,Entamoeba histolytica KU50,Transcript information for Entamoeba histolytica KU50,AmoebaDB 44 transcript information for Entamoeba histolytica KU50,GRanges,GRanges,GRanges.Entamoeba.histolytica.KU50.v44.rda,EuPathDB/GRanges/3.9/GRanges.Entamoeba.histolytica.KU50.v44.rda
