BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-42_AastronyxisUnknown,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AastronyxisUnknown/gff/data/AmoebaDB-42_AastronyxisUnknown.gff,42,Acanthamoeba astronyxis Unknown,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba astronyxis Unknown,AmoebaDB 42 annotations for Acanthamoeba astronyxis Unknown,OrgDb,SQLiteFile,org.Acanthamoeba_astronyxis_Unknown.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_astronyxis_Unknown.amoeba.db.sqlite
3.9,AmoebaDB-42_AcastellaniiMa,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AcastellaniiMa/gff/data/AmoebaDB-42_AcastellaniiMa.gff,42,Acanthamoeba castellanii Ma,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba castellanii Ma,AmoebaDB 42 annotations for Acanthamoeba castellanii Ma,OrgDb,SQLiteFile,org.Acanthamoeba_castellanii_Ma.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_castellanii_Ma.amoeba.db.sqlite
3.9,AmoebaDB-42_AcastellaniiNeff,16130,12207,GFF,http://AmoebaDB.org/common/downloads/release-42/AcastellaniiNeff/gff/data/AmoebaDB-42_AcastellaniiNeff.gff,42,Acanthamoeba castellanii str. Neff,1257118,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba castellanii str. Neff,AmoebaDB 42 annotations for Acanthamoeba castellanii str. Neff,OrgDb,SQLiteFile,org.Acanthamoeba_castellanii_str_Neff.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_castellanii_str_Neff.amoeba.db.sqlite
3.9,AmoebaDB-42_AculbertsoniA1,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AculbertsoniA1/gff/data/AmoebaDB-42_AculbertsoniA1.gff,42,Acanthamoeba culbertsoni A1,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba culbertsoni A1,AmoebaDB 42 annotations for Acanthamoeba culbertsoni A1,OrgDb,SQLiteFile,org.Acanthamoeba_culbertsoni_A1.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_culbertsoni_A1.amoeba.db.sqlite
3.9,AmoebaDB-42_AlenticulataPD2S,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlenticulataPD2S/gff/data/AmoebaDB-42_AlenticulataPD2S.gff,42,Acanthamoeba lenticulata PD2S,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba lenticulata PD2S,AmoebaDB 42 annotations for Acanthamoeba lenticulata PD2S,OrgDb,SQLiteFile,org.Acanthamoeba_lenticulata_PD2S.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_lenticulata_PD2S.amoeba.db.sqlite
3.9,AmoebaDB-42_AlugdunensisL3a,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlugdunensisL3a/gff/data/AmoebaDB-42_AlugdunensisL3a.gff,42,Acanthamoeba lugdunensis L3a,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba lugdunensis L3a,AmoebaDB 42 annotations for Acanthamoeba lugdunensis L3a,OrgDb,SQLiteFile,org.Acanthamoeba_lugdunensis_L3a.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_lugdunensis_L3a.amoeba.db.sqlite
3.9,AmoebaDB-42_Amauritaniensis1652,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/Amauritaniensis1652/gff/data/AmoebaDB-42_Amauritaniensis1652.gff,42,Acanthamoeba mauritaniensis 1652,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba mauritaniensis 1652,AmoebaDB 42 annotations for Acanthamoeba mauritaniensis 1652,OrgDb,SQLiteFile,org.Acanthamoeba_mauritaniensis_1652.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_mauritaniensis_1652.amoeba.db.sqlite
3.9,AmoebaDB-42_ApalestinensisReich,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ApalestinensisReich/gff/data/AmoebaDB-42_ApalestinensisReich.gff,42,Acanthamoeba palestinensis Reich,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba palestinensis Reich,AmoebaDB 42 annotations for Acanthamoeba palestinensis Reich,OrgDb,SQLiteFile,org.Acanthamoeba_palestinensis_Reich.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_palestinensis_Reich.amoeba.db.sqlite
3.9,AmoebaDB-42_AquinaVil3,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AquinaVil3/gff/data/AmoebaDB-42_AquinaVil3.gff,42,Acanthamoeba quina Vil3,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba quina Vil3,AmoebaDB 42 annotations for Acanthamoeba quina Vil3,OrgDb,SQLiteFile,org.Acanthamoeba_quina_Vil3.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_quina_Vil3.amoeba.db.sqlite
3.9,AmoebaDB-42_ArhysodesSingh,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ArhysodesSingh/gff/data/AmoebaDB-42_ArhysodesSingh.gff,42,Acanthamoeba rhysodes Singh,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba rhysodes Singh,AmoebaDB 42 annotations for Acanthamoeba rhysodes Singh,OrgDb,SQLiteFile,org.Acanthamoeba_rhysodes_Singh.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_rhysodes_Singh.amoeba.db.sqlite
