BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Title,Description,RDataClass,DispatchClass,ResourceName
3.4,FungiDB-28_Aaculeatus_ATCC16872,GFF,http://FungiDB.org/common/downloads/Current_Release/Aaculeatus_ATCC16872/gff/data/FungiDB-28_Aaculeatus_ATCC16872.gff,28,Aspergillus aculeatus ATCC 16872,690307,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus aculeatus ATCC 16872,FungiDB 28 transcript information for Aspergillus aculeatus ATCC 16872,GRanges,GRanges,FungiDB-28_Aaculeatus_ATCC16872.rda
3.4,FungiDB-28_Acandida_2VRR,GFF,http://FungiDB.org/common/downloads/Current_Release/Acandida_2VRR/gff/data/FungiDB-28_Acandida_2VRR.gff,28,Albugo candida 2VRR,911350,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Albugo candida 2VRR,FungiDB 28 transcript information for Albugo candida 2VRR,GRanges,GRanges,FungiDB-28_Acandida_2VRR.rda
3.4,FungiDB-28_Acapsulatus_G186AR,GFF,http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_G186AR/gff/data/FungiDB-28_Acapsulatus_G186AR.gff,28,Ajellomyces capsulatus G186AR,447093,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Ajellomyces capsulatus G186AR,FungiDB 28 transcript information for Ajellomyces capsulatus G186AR,GRanges,GRanges,FungiDB-28_Acapsulatus_G186AR.rda
3.4,FungiDB-28_Acapsulatus_NAm1,GFF,http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_NAm1/gff/data/FungiDB-28_Acapsulatus_NAm1.gff,28,Ajellomyces capsulatus NAm1,339724,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Ajellomyces capsulatus NAm1,FungiDB 28 transcript information for Ajellomyces capsulatus NAm1,GRanges,GRanges,FungiDB-28_Acapsulatus_NAm1.rda
3.4,FungiDB-28_Acarbonarius_ITEM5010,GFF,http://FungiDB.org/common/downloads/Current_Release/Acarbonarius_ITEM5010/gff/data/FungiDB-28_Acarbonarius_ITEM5010.gff,28,Aspergillus carbonarius ITEM 5010,602072,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus carbonarius ITEM 5010,FungiDB 28 transcript information for Aspergillus carbonarius ITEM 5010,GRanges,GRanges,FungiDB-28_Acarbonarius_ITEM5010.rda
3.4,FungiDB-28_Aclavatus_NRRL1,GFF,http://FungiDB.org/common/downloads/Current_Release/Aclavatus_NRRL1/gff/data/FungiDB-28_Aclavatus_NRRL1.gff,28,Aspergillus clavatus NRRL 1,344612,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus clavatus NRRL 1,FungiDB 28 transcript information for Aspergillus clavatus NRRL 1,GRanges,GRanges,FungiDB-28_Aclavatus_NRRL1.rda
3.4,FungiDB-28_Aflavus_NRRL3357,GFF,http://FungiDB.org/common/downloads/Current_Release/Aflavus_NRRL3357/gff/data/FungiDB-28_Aflavus_NRRL3357.gff,28,Aspergillus flavus NRRL3357,332952,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus flavus NRRL3357,FungiDB 28 transcript information for Aspergillus flavus NRRL3357,GRanges,GRanges,FungiDB-28_Aflavus_NRRL3357.rda
3.4,FungiDB-28_Afumigatus_Af293,GFF,http://FungiDB.org/common/downloads/Current_Release/Afumigatus_Af293/gff/data/FungiDB-28_Afumigatus_Af293.gff,28,Aspergillus fumigatus Af293,330879,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus fumigatus Af293,FungiDB 28 transcript information for Aspergillus fumigatus Af293,GRanges,GRanges,FungiDB-28_Afumigatus_Af293.rda
3.4,FungiDB-28_Alaibachii_Nc14,GFF,http://FungiDB.org/common/downloads/Current_Release/Alaibachii_Nc14/gff/data/FungiDB-28_Alaibachii_Nc14.gff,28,Albugo laibachii Nc14,890382,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Albugo laibachii Nc14,FungiDB 28 transcript information for Albugo laibachii Nc14,GRanges,GRanges,FungiDB-28_Alaibachii_Nc14.rda
3.4,FungiDB-28_Amacrogynus_ATCC38327,GFF,http://FungiDB.org/common/downloads/Current_Release/Amacrogynus_ATCC38327/gff/data/FungiDB-28_Amacrogynus_ATCC38327.gff,28,Allomyces macrogynus ATCC 38327,578462,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Allomyces macrogynus ATCC 38327,FungiDB 28 transcript information for Allomyces macrogynus ATCC 38327,GRanges,GRanges,FungiDB-28_Amacrogynus_ATCC38327.rda
3.4,FungiDB-28_Anidulans_FGSCA4,GFF,http://FungiDB.org/common/downloads/Current_Release/Anidulans_FGSCA4/gff/data/FungiDB-28_Anidulans_FGSCA4.gff,28,Aspergillus nidulans FGSC A4,227321,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus nidulans FGSC A4,FungiDB 28 transcript information for Aspergillus nidulans FGSC A4,GRanges,GRanges,FungiDB-28_Anidulans_FGSCA4.rda
3.4,FungiDB-28_Aniger_ATCC1015,GFF,http://FungiDB.org/common/downloads/Current_Release/Aniger_ATCC1015/gff/data/FungiDB-28_Aniger_ATCC1015.gff,28,Aspergillus niger ATCC 1015,380704,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus niger ATCC 1015,FungiDB 28 transcript information for Aspergillus niger ATCC 1015,GRanges,GRanges,FungiDB-28_Aniger_ATCC1015.rda
3.4,FungiDB-28_Aniger_CBS513-88,GFF,http://FungiDB.org/common/downloads/Current_Release/Aniger_CBS513-88/gff/data/FungiDB-28_Aniger_CBS513-88.gff,28,Aspergillus niger CBS 513.88,425011,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus niger CBS 513.88,FungiDB 28 transcript information for Aspergillus niger CBS 513.88,GRanges,GRanges,FungiDB-28_Aniger_CBS513-88.rda
3.4,FungiDB-28_AoryzaeRIB40,GFF,http://FungiDB.org/common/downloads/Current_Release/AoryzaeRIB40/gff/data/FungiDB-28_AoryzaeRIB40.gff,28,Aspergillus oryzae RIB40,510516,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus oryzae RIB40,FungiDB 28 transcript information for Aspergillus oryzae RIB40,GRanges,GRanges,FungiDB-28_AoryzaeRIB40.rda
3.4,FungiDB-28_Aterreus_NIH2624,GFF,http://FungiDB.org/common/downloads/Current_Release/Aterreus_NIH2624/gff/data/FungiDB-28_Aterreus_NIH2624.gff,28,Aspergillus terreus NIH2624,341663,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Aspergillus terreus NIH2624,FungiDB 28 transcript information for Aspergillus terreus NIH2624,GRanges,GRanges,FungiDB-28_Aterreus_NIH2624.rda
3.4,FungiDB-28_Bdendrobatidis_JEL423,GFF,http://FungiDB.org/common/downloads/Current_Release/Bdendrobatidis_JEL423/gff/data/FungiDB-28_Bdendrobatidis_JEL423.gff,28,Batrachochytrium dendrobatidis JEL423,403673,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Batrachochytrium dendrobatidis JEL423,FungiDB 28 transcript information for Batrachochytrium dendrobatidis JEL423,GRanges,GRanges,FungiDB-28_Bdendrobatidis_JEL423.rda
3.4,FungiDB-28_Bfuckeliana_B05-10,GFF,http://FungiDB.org/common/downloads/Current_Release/Bfuckeliana_B05-10/gff/data/FungiDB-28_Bfuckeliana_B05-10.gff,28,Botryotinia fuckeliana B05.10,332648,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Botryotinia fuckeliana B05.10,FungiDB 28 transcript information for Botryotinia fuckeliana B05.10,GRanges,GRanges,FungiDB-28_Bfuckeliana_B05-10.rda
3.4,FungiDB-28_Calbicans_SC5314,GFF,http://FungiDB.org/common/downloads/Current_Release/Calbicans_SC5314/gff/data/FungiDB-28_Calbicans_SC5314.gff,28,Candida albicans SC5314,237561,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Transcript information for Candida albicans SC5314,FungiDB 28 transcript information for Candida albicans SC5314,GRanges,GRanges,FungiDB-28_Calbicans_SC5314.rda
