BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,BsgenomeFile,GrangesFile,OrganismdbiFile,OrgdbFile,TxdbFile,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
v3.9,AmoebaDB-44_AastronyxisUnknown,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AastronyxisUnknown/gff/data/AmoebaDB-42_AastronyxisUnknown.gff,42,Acanthamoeba astronyxis,65658,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.astronyxis.Unknown.v42,GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda,amoebadb.Acanthamoeba.astronyxis.Unknown.v42,org.Aastronyxis.Unknown.v42.eg.db,TxDb.Acanthamoeba.astronyxis.Unknown.AmoebaDB.v42,Unknown,Acanthamoeba astronyxis Unknown,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.astronyxis.Unknown.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.astronyxis.Unknown.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Aastronyxis.Unknown.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.astronyxis.Unknown.AmoebaDB.v42.sqlite,Acanthamoeba astronyxis Unknown,Transcript information for Acanthamoeba astronyxis Unknown,AmoebaDB 42 transcript information for Acanthamoeba astronyxis Unknown,GRanges,GRanges,GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.astronyxis.Unknown.v42.rda
v3.9,AmoebaDB-44_AcastellaniiMa,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AcastellaniiMa/gff/data/AmoebaDB-42_AcastellaniiMa.gff,42,Acanthamoeba castellanii,5755,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.Ma.v42,GRanges.Acanthamoeba.castellanii.Ma.v42.rda,amoebadb.Acanthamoeba.castellanii.Ma.v42,org.Acastellanii.Ma.v42.eg.db,TxDb.Acanthamoeba.castellanii.Ma.AmoebaDB.v42,Ma,Acanthamoeba castellanii Ma,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.castellanii.Ma.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.castellanii.Ma.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.castellanii.Ma.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Acastellanii.Ma.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.castellanii.Ma.AmoebaDB.v42.sqlite,Acanthamoeba castellanii Ma,Transcript information for Acanthamoeba castellanii Ma,AmoebaDB 42 transcript information for Acanthamoeba castellanii Ma,GRanges,GRanges,GRanges.Acanthamoeba.castellanii.Ma.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.castellanii.Ma.v42.rda
v3.9,AmoebaDB-44_AculbertsoniA1,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AculbertsoniA1/gff/data/AmoebaDB-42_AculbertsoniA1.gff,42,Acanthamoeba culbertsoni,43142,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.culbertsoni.A1.v42,GRanges.Acanthamoeba.culbertsoni.A1.v42.rda,amoebadb.Acanthamoeba.culbertsoni.A1.v42,org.Aculbertsoni.A1.v42.eg.db,TxDb.Acanthamoeba.culbertsoni.A1.AmoebaDB.v42,A1,Acanthamoeba culbertsoni A1,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.culbertsoni.A1.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.culbertsoni.A1.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.culbertsoni.A1.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Aculbertsoni.A1.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.culbertsoni.A1.AmoebaDB.v42.sqlite,Acanthamoeba culbertsoni A1,Transcript information for Acanthamoeba culbertsoni A1,AmoebaDB 42 transcript information for Acanthamoeba culbertsoni A1,GRanges,GRanges,GRanges.Acanthamoeba.culbertsoni.A1.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.culbertsoni.A1.v42.rda
v3.9,AmoebaDB-44_AlenticulataPD2S,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlenticulataPD2S/gff/data/AmoebaDB-42_AlenticulataPD2S.gff,42,Acanthamoeba lenticulata,29196,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lenticulata.PD2S.v42,GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda,amoebadb.Acanthamoeba.lenticulata.PD2S.v42,org.Alenticulata.PD2S.v42.eg.db,TxDb.Acanthamoeba.lenticulata.PD2S.AmoebaDB.v42,PD2S,Acanthamoeba lenticulata PD2S,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.lenticulata.PD2S.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.lenticulata.PD2S.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Alenticulata.PD2S.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.lenticulata.PD2S.AmoebaDB.v42.sqlite,Acanthamoeba lenticulata PD2S,Transcript information for Acanthamoeba lenticulata PD2S,AmoebaDB 42 transcript information for Acanthamoeba lenticulata PD2S,GRanges,GRanges,GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.lenticulata.PD2S.v42.rda
v3.9,AmoebaDB-44_AlugdunensisL3a,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AlugdunensisL3a/gff/data/AmoebaDB-42_AlugdunensisL3a.gff,42,Acanthamoeba lugdunensis,61605,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lugdunensis.L3a.v42,GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda,amoebadb.Acanthamoeba.lugdunensis.L3a.v42,org.Alugdunensis.L3a.v42.eg.db,TxDb.Acanthamoeba.lugdunensis.L3a.AmoebaDB.v42,L3a,Acanthamoeba lugdunensis L3a,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.lugdunensis.L3a.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.lugdunensis.L3a.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Alugdunensis.L3a.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.lugdunensis.L3a.AmoebaDB.v42.sqlite,Acanthamoeba lugdunensis L3a,Transcript information for Acanthamoeba lugdunensis L3a,AmoebaDB 42 transcript information for Acanthamoeba lugdunensis L3a,GRanges,GRanges,GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.lugdunensis.L3a.v42.rda
v3.9,AmoebaDB-44_Amauritaniensis1652,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/Amauritaniensis1652/gff/data/AmoebaDB-42_Amauritaniensis1652.gff,42,Acanthamoeba mauritaniensis,196912,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.mauritaniensis.1652.v42,GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda,amoebadb.Acanthamoeba.mauritaniensis.1652.v42,org.Amauritaniensis.1652.v42.eg.db,TxDb.Acanthamoeba.mauritaniensis.1652.AmoebaDB.v42,1652,Acanthamoeba mauritaniensis 1652,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.mauritaniensis.1652.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.mauritaniensis.1652.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Amauritaniensis.1652.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.mauritaniensis.1652.AmoebaDB.v42.sqlite,Acanthamoeba mauritaniensis 1652,Transcript information for Acanthamoeba mauritaniensis 1652,AmoebaDB 42 transcript information for Acanthamoeba mauritaniensis 1652,GRanges,GRanges,GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.mauritaniensis.1652.v42.rda
v3.9,AmoebaDB-44_ApalestinensisReich,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ApalestinensisReich/gff/data/AmoebaDB-42_ApalestinensisReich.gff,42,Acanthamoeba palestinensis,28015,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.palestinensis.Reich.v42,GRanges.Acanthamoeba.palestinensis.Reich.v42.rda,amoebadb.Acanthamoeba.palestinensis.Reich.v42,org.Apalestinensis.Reich.v42.eg.db,TxDb.Acanthamoeba.palestinensis.Reich.AmoebaDB.v42,Reich,Acanthamoeba palestinensis Reich,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.palestinensis.Reich.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.palestinensis.Reich.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.palestinensis.Reich.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Apalestinensis.Reich.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.palestinensis.Reich.AmoebaDB.v42.sqlite,Acanthamoeba palestinensis Reich,Transcript information for Acanthamoeba palestinensis Reich,AmoebaDB 42 transcript information for Acanthamoeba palestinensis Reich,GRanges,GRanges,GRanges.Acanthamoeba.palestinensis.Reich.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.palestinensis.Reich.v42.rda
v3.9,AmoebaDB-44_AquinaVil3,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AquinaVil3/gff/data/AmoebaDB-42_AquinaVil3.gff,42,Acanthamoeba quina,211522,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.quina.Vil3.v42,GRanges.Acanthamoeba.quina.Vil3.v42.rda,amoebadb.Acanthamoeba.quina.Vil3.v42,org.Aquina.Vil3.v42.eg.db,TxDb.Acanthamoeba.quina.Vil3.AmoebaDB.v42,Vil3,Acanthamoeba quina Vil3,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.quina.Vil3.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.quina.Vil3.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.quina.Vil3.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Aquina.Vil3.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.quina.Vil3.AmoebaDB.v42.sqlite,Acanthamoeba quina Vil3,Transcript information for Acanthamoeba quina Vil3,AmoebaDB 42 transcript information for Acanthamoeba quina Vil3,GRanges,GRanges,GRanges.Acanthamoeba.quina.Vil3.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.quina.Vil3.v42.rda
v3.9,AmoebaDB-44_ArhysodesSingh,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/ArhysodesSingh/gff/data/AmoebaDB-42_ArhysodesSingh.gff,42,Acanthamoeba rhysodes,32599,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.rhysodes.Singh.v42,GRanges.Acanthamoeba.rhysodes.Singh.v42.rda,amoebadb.Acanthamoeba.rhysodes.Singh.v42,org.Arhysodes.Singh.v42.eg.db,TxDb.Acanthamoeba.rhysodes.Singh.AmoebaDB.v42,Singh,Acanthamoeba rhysodes Singh,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.rhysodes.Singh.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.rhysodes.Singh.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.rhysodes.Singh.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Arhysodes.Singh.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.rhysodes.Singh.AmoebaDB.v42.sqlite,Acanthamoeba rhysodes Singh,Transcript information for Acanthamoeba rhysodes Singh,AmoebaDB 42 transcript information for Acanthamoeba rhysodes Singh,GRanges,GRanges,GRanges.Acanthamoeba.rhysodes.Singh.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.rhysodes.Singh.v42.rda
v3.9,AmoebaDB-44_AspGalka,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspGalka/gff/data/AmoebaDB-42_AspGalka.gff,42,Acanthamoeba sp,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Galka.v42,GRanges.Acanthamoeba.sp.Galka.v42.rda,amoebadb.Acanthamoeba.sp.Galka.v42,org.Asp.Galka.v42.eg.db,TxDb.Acanthamoeba.sp.Galka.AmoebaDB.v42,Galka,Acanthamoeba sp Galka,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.sp.Galka.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.Galka.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.sp.Galka.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Asp.Galka.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.sp.Galka.AmoebaDB.v42.sqlite,Acanthamoeba sp Galka,Transcript information for Acanthamoeba sp Galka,AmoebaDB 42 transcript information for Acanthamoeba sp Galka,GRanges,GRanges,GRanges.Acanthamoeba.sp.Galka.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.Galka.v42.rda
