BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,BsgenomeFile,GrangesFile,OrganismdbiFile,OrgdbFile,TxdbFile,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
v3.9,AmoebaDB-44_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-42/EdisparSAW760/gff/data/AmoebaDB-42_EdisparSAW760.gff,42,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.dispar.SAW760.v42,GRanges.Entamoeba.dispar.SAW760.v42.rda,amoebadb.Entamoeba.dispar.SAW760.v42,org.Edispar.SAW760.v42.eg.db,TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v42,SAW760,Entamoeba dispar SAW760,Entamoeba,dispar,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.dispar.SAW760.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.dispar.SAW760.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.dispar.SAW760.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Edispar.SAW760.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v42.sqlite,Entamoeba dispar SAW760,Transcript information for Entamoeba dispar SAW760,AmoebaDB 42 annotations for Entamoeba dispar SAW760,OrgDb,SQLiteFile,org.Edispar.SAW760.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Edispar.SAW760.v42.eg.sqlite
v3.9,AmoebaDB-44_EhistolyticaHM1IMSS,8333,8306,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS.gff,42,Entamoeba histolytica HM-1:IMSS,294381,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.v42,GRanges.Entamoeba.histolytica.HM.1IMSS.v42.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.v42,org.Ehistolytica.HM.1IMSS.v42.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v42,HM.1IMSS,Entamoeba histolytica HM 1IMSS,Entamoeba,histolytica,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v42.sqlite,Entamoeba histolytica HM-1:IMSS,Transcript information for Entamoeba histolytica HM 1IMSS,AmoebaDB 42 annotations for Entamoeba histolytica HM 1IMSS,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.v42.eg.sqlite
v3.9,AmoebaDB-44_EhistolyticaHM1IMSS-A,6331,6316,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS-A.gff,42,Entamoeba histolytica HM-1:IMSS-A,885318,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v42,GRanges.Entamoeba.histolytica.HM.1IMSS.A.v42.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v42,org.Ehistolytica.HM.1IMSS.A.v42.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v42,HM.1IMSS.A,Entamoeba histolytica HM 1IMSS A,Entamoeba,histolytica,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.A.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.A.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v42.sqlite,Entamoeba histolytica HM-1:IMSS-A,Transcript information for Entamoeba histolytica HM 1IMSS A,AmoebaDB 42 annotations for Entamoeba histolytica HM 1IMSS A,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.A.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.A.v42.eg.sqlite
v3.9,AmoebaDB-44_EhistolyticaHM1IMSS-B,6311,6248,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS-B.gff,42,Entamoeba histolytica HM-1:IMSS-B,885319,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v42,GRanges.Entamoeba.histolytica.HM.1IMSS.B.v42.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v42,org.Ehistolytica.HM.1IMSS.B.v42.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v42,HM.1IMSS.B,Entamoeba histolytica HM 1IMSS B,Entamoeba,histolytica,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.1IMSS.B.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.B.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v42.sqlite,Entamoeba histolytica HM-1:IMSS-B,Transcript information for Entamoeba histolytica HM 1IMSS B,AmoebaDB 42 annotations for Entamoeba histolytica HM 1IMSS B,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.B.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1IMSS.B.v42.eg.sqlite
v3.9,AmoebaDB-44_EhistolyticaHM3IMSS,7362,7158,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM3IMSS/gff/data/AmoebaDB-42_EhistolyticaHM3IMSS.gff,42,Entamoeba histolytica HM-3:IMSS,885315,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.3IMSS.v42,GRanges.Entamoeba.histolytica.HM.3IMSS.v42.rda,amoebadb.Entamoeba.histolytica.HM.3IMSS.v42,org.Ehistolytica.HM.3IMSS.v42.eg.db,TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v42,HM.3IMSS,Entamoeba histolytica HM 3IMSS,Entamoeba,histolytica,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.HM.3IMSS.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.3IMSS.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.HM.3IMSS.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.3IMSS.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v42.sqlite,Entamoeba histolytica HM-3:IMSS,Transcript information for Entamoeba histolytica HM 3IMSS,AmoebaDB 42 annotations for Entamoeba histolytica HM 3IMSS,OrgDb,SQLiteFile,org.Ehistolytica.HM.3IMSS.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.3IMSS.v42.eg.sqlite
v3.9,AmoebaDB-44_EhistolyticaKU27,7469,7415,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU27/gff/data/AmoebaDB-42_EhistolyticaKU27.gff,42,Entamoeba histolytica KU27,885311,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU27.v42,GRanges.Entamoeba.histolytica.KU27.v42.rda,amoebadb.Entamoeba.histolytica.KU27.v42,org.Ehistolytica.KU27.v42.eg.db,TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v42,KU27,Entamoeba histolytica KU27,Entamoeba,histolytica,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.KU27.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.KU27.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.KU27.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.KU27.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v42.sqlite,Entamoeba histolytica KU27,Transcript information for Entamoeba histolytica KU27,AmoebaDB 42 annotations for Entamoeba histolytica KU27,OrgDb,SQLiteFile,org.Ehistolytica.KU27.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Ehistolytica.KU27.v42.eg.sqlite
v3.9,AmoebaDB-44_EinvadensIP1,12433,11955,GFF,http://AmoebaDB.org/common/downloads/release-42/EinvadensIP1/gff/data/AmoebaDB-42_EinvadensIP1.gff,42,Entamoeba invadens IP1,370355,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.invadens.IP1.v42,GRanges.Entamoeba.invadens.IP1.v42.rda,amoebadb.Entamoeba.invadens.IP1.v42,org.Einvadens.IP1.v42.eg.db,TxDb.Entamoeba.invadens.IP1.AmoebaDB.v42,IP1,Entamoeba invadens IP1,Entamoeba,invadens,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.invadens.IP1.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.invadens.IP1.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.invadens.IP1.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Einvadens.IP1.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.invadens.IP1.AmoebaDB.v42.sqlite,Entamoeba invadens IP1,Transcript information for Entamoeba invadens IP1,AmoebaDB 42 annotations for Entamoeba invadens IP1,OrgDb,SQLiteFile,org.Einvadens.IP1.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Einvadens.IP1.v42.eg.sqlite
v3.9,AmoebaDB-44_EmoshkovskiiLaredo,12518,12165,GFF,http://AmoebaDB.org/common/downloads/release-42/EmoshkovskiiLaredo/gff/data/AmoebaDB-42_EmoshkovskiiLaredo.gff,42,Entamoeba moshkovskii,41668,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.moshkovskii.Laredo.v42,GRanges.Entamoeba.moshkovskii.Laredo.v42.rda,amoebadb.Entamoeba.moshkovskii.Laredo.v42,org.Emoshkovskii.Laredo.v42.eg.db,TxDb.Entamoeba.moshkovskii.Laredo.AmoebaDB.v42,Laredo,Entamoeba moshkovskii Laredo,Entamoeba,moshkovskii,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.moshkovskii.Laredo.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.moshkovskii.Laredo.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.moshkovskii.Laredo.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Emoshkovskii.Laredo.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.moshkovskii.Laredo.AmoebaDB.v42.sqlite,Entamoeba moshkovskii Laredo,Transcript information for Entamoeba moshkovskii Laredo,AmoebaDB 42 annotations for Entamoeba moshkovskii Laredo,OrgDb,SQLiteFile,org.Emoshkovskii.Laredo.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Emoshkovskii.Laredo.v42.eg.sqlite
v3.9,AmoebaDB-44_EnuttalliP19,6193,6168,GFF,http://AmoebaDB.org/common/downloads/release-42/EnuttalliP19/gff/data/AmoebaDB-42_EnuttalliP19.gff,42,Entamoeba nuttalli / P19,1076696,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.nuttalli.P19.v42,GRanges.Entamoeba.nuttalli.P19.v42.rda,amoebadb.Entamoeba.nuttalli.P19.v42,org.Enuttalli.P19.v42.eg.db,TxDb.Entamoeba.nuttalli.P19.AmoebaDB.v42,P19,Entamoeba nuttalli P19,Entamoeba,nuttalli,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.nuttalli.P19.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.nuttalli.P19.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.nuttalli.P19.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Enuttalli.P19.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.nuttalli.P19.AmoebaDB.v42.sqlite,Entamoeba nuttalli P19,Transcript information for Entamoeba nuttalli P19,AmoebaDB 42 annotations for Entamoeba nuttalli P19,OrgDb,SQLiteFile,org.Enuttalli.P19.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Enuttalli.P19.v42.eg.sqlite
v3.9,AmoebaDB-44_NfowleriATCC30863,13428,8753,GFF,http://AmoebaDB.org/common/downloads/release-42/NfowleriATCC30863/gff/data/AmoebaDB-42_NfowleriATCC30863.gff,42,Naegleria fowleri,5763,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Naegleria.fowleri.ATCC.30863.v42,GRanges.Naegleria.fowleri.ATCC.30863.v42.rda,amoebadb.Naegleria.fowleri.ATCC.30863.v42,org.Nfowleri.ATCC.30863.v42.eg.db,TxDb.Naegleria.fowleri.ATCC.30863.AmoebaDB.v42,ATCC.30863,Naegleria fowleri ATCC 30863,Naegleria,fowleri,EuPathDB/BSgenome/v3.9/BSGenome.Naegleria.fowleri.ATCC.30863.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Naegleria.fowleri.ATCC.30863.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Naegleria.fowleri.ATCC.30863.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Nfowleri.ATCC.30863.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Naegleria.fowleri.ATCC.30863.AmoebaDB.v42.sqlite,Naegleria fowleri ATCC 30863,Transcript information for Naegleria fowleri ATCC 30863,AmoebaDB 42 annotations for Naegleria fowleri ATCC 30863,OrgDb,SQLiteFile,org.Nfowleri.ATCC.30863.v42.eg.db,EuPathDB/OrgDb/v3.9/org.Nfowleri.ATCC.30863.v42.eg.sqlite
