"BiocVersion","Genome","GenomeSizeMB","NumGenes","NumOrthologs","SourceType","SourceUrl","SourceVersion","Species","Organism","Strain","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","Tags","Title","Description","RDataClass","DispatchClass","ResourceName","RDataPath"
"3.8","MicrosporidiaDB-39_EaedisUSNM41457",51.35,"4262","2350","GFF","http://MicrosporidiaDB.org/common/downloads/Current_Release/EaedisUSNM41457/gff/data/MicrosporidiaDB-39_EaedisUSNM41457.gff","39","Edhazardia aedis","Edhazardia aedis USNM 41457","USNM 41457",1003232,TRUE,"MicrosporidiaDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Microsporidia","Edhazardia aedis USNM 41457 genome wide annotations","MicrosporidiaDB 39 genome annotations for Edhazardia aedis USNM 41457","OrgDb","SQLiteFile","org.Edhazardia_aedis_USNM_41457.microsporidia.db.sqlite","EuPathDB/OrgDb/3.8/org.Edhazardia_aedis_USNM_41457.microsporidia.db.sqlite"
"3.8","FungiDB-39_AversicolorCBS583.65",33.13,"13364","12491","GFF","http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/gff/data/FungiDB-39_AversicolorCBS583.65.gff","39","Aspergillus versicolor","Aspergillus versicolor CBS 583.65","CBS 583.65",1036611,TRUE,"FungiDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Fungus,Fungi","Aspergillus versicolor CBS 583.65 genome wide annotations","FungiDB 39 genome annotations for Aspergillus versicolor CBS 583.65","OrgDb","SQLiteFile","org.Aspergillus_versicolor_CBS_583_65.fungi.db.sqlite","EuPathDB/OrgDb/3.8/org.Aspergillus_versicolor_CBS_583_65.fungi.db.sqlite"
"3.8","FungiDB-39_AsydowiiCBS593.65",34.38,"13717","12740","GFF","http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/gff/data/FungiDB-39_AsydowiiCBS593.65.gff","39","Aspergillus sydowii","Aspergillus sydowii CBS 593.65","CBS 593.65",1036612,TRUE,"FungiDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Fungus,Fungi","Aspergillus sydowii CBS 593.65 genome wide annotations","FungiDB 39 genome annotations for Aspergillus sydowii CBS 593.65","OrgDb","SQLiteFile","org.Aspergillus_sydowii_CBS_593_65.fungi.db.sqlite","EuPathDB/OrgDb/3.8/org.Aspergillus_sydowii_CBS_593_65.fungi.db.sqlite"
"3.8","FungiDB-39_PcinnamomiCBS144-22",77.97,"26201","24306","GFF","http://FungiDB.org/common/downloads/Current_Release/PcinnamomiCBS144-22/gff/data/FungiDB-39_PcinnamomiCBS144-22.gff","39","Phytophthora cinnamomi","Phytophthora cinnamomi var. cinnamomi CBS 144.22","var. cinnamomi CBS 144.22",1048749,TRUE,"FungiDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Fungus,Fungi","Phytophthora cinnamomi var. cinnamomi CBS 144.22 genome wide annotations","FungiDB 39 genome annotations for Phytophthora cinnamomi var. cinnamomi CBS 144.22","OrgDb","SQLiteFile","org.Phytophthora_cinnamomi_var_cinnamomi_CBS_144_22.fungi.db.sqlite","EuPathDB/OrgDb/3.8/org.Phytophthora_cinnamomi_var_cinnamomi_CBS_144_22.fungi.db.sqlite"
"3.8","TriTrypDB-39_TvivaxY486",47.51,"12050","11385","GFF","http://TriTrypDB.org/common/downloads/Current_Release/TvivaxY486/gff/data/TriTrypDB-39_TvivaxY486.gff","39","Trypanosoma vivax","Trypanosoma vivax Y486","Y486",1055687,TRUE,"TriTrypDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Trypanosome,Kinetoplastid,Leishmania","Trypanosoma vivax Y486 genome wide annotations","TriTrypDB 39 genome annotations for Trypanosoma vivax Y486","OrgDb","SQLiteFile","org.Trypanosoma_vivax_Y486.tritryp.db.sqlite","EuPathDB/OrgDb/3.8/org.Trypanosoma_vivax_Y486.tritryp.db.sqlite"
"3.8","TriTrypDB-39_TcongolenseIL3000",41.37,"11792","11555","GFF","http://TriTrypDB.org/common/downloads/Current_Release/TcongolenseIL3000/gff/data/TriTrypDB-39_TcongolenseIL3000.gff","39","Trypanosoma congolense","Trypanosoma congolense IL3000","IL3000",1068625,TRUE,"TriTrypDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Trypanosome,Kinetoplastid,Leishmania","Trypanosoma congolense IL3000 genome wide annotations","TriTrypDB 39 genome annotations for Trypanosoma congolense IL3000","OrgDb","SQLiteFile","org.Trypanosoma_congolense_IL3000.tritryp.db.sqlite","EuPathDB/OrgDb/3.8/org.Trypanosoma_congolense_IL3000.tritryp.db.sqlite"
"3.8","FungiDB-39_AwentiiDTO134E9",31.35,"12659","11488","GFF","http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/gff/data/FungiDB-39_AwentiiDTO134E9.gff","39","Aspergillus wentii","Aspergillus wentii DTO 134E9","DTO 134E9",1073089,TRUE,"FungiDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Fungus,Fungi","Aspergillus wentii DTO 134E9 genome wide annotations","FungiDB 39 genome annotations for Aspergillus wentii DTO 134E9","OrgDb","SQLiteFile","org.Aspergillus_wentii_DTO_134E9.fungi.db.sqlite","EuPathDB/OrgDb/3.8/org.Aspergillus_wentii_DTO_134E9.fungi.db.sqlite"
"3.8","FungiDB-39_AzonataCBS506.65",26.09,"10027","9146","GFF","http://FungiDB.org/common/downloads/Current_Release/AzonataCBS506.65/gff/data/FungiDB-39_AzonataCBS506.65.gff","39","Aspergillus zonatus","Aspergillus zonatus CBS 506.65","CBS 506.65",1073090,TRUE,"FungiDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Fungus,Fungi","Aspergillus zonatus CBS 506.65 genome wide annotations","FungiDB 39 genome annotations for Aspergillus zonatus CBS 506.65","OrgDb","SQLiteFile","org.Aspergillus_zonatus_CBS_506_65.fungi.db.sqlite","EuPathDB/OrgDb/3.8/org.Aspergillus_zonatus_CBS_506_65.fungi.db.sqlite"
"3.8","ToxoDB-39_TgondiiARI",64.69,"10148","9810","GFF","http://ToxoDB.org/common/downloads/Current_Release/TgondiiARI/gff/data/ToxoDB-39_TgondiiARI.gff","39","Toxoplasma gondii","Toxoplasma gondii ARI","ARI",1074872,TRUE,"ToxoDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Toxoplasmosis","Toxoplasma gondii ARI genome wide annotations","ToxoDB 39 genome annotations for Toxoplasma gondii ARI","OrgDb","SQLiteFile","org.Toxoplasma_gondii_ARI.toxo.db.sqlite","EuPathDB/OrgDb/3.8/org.Toxoplasma_gondii_ARI.toxo.db.sqlite"
"3.8","AmoebaDB-39_EnuttalliP19",14.4,"6193","6168","GFF","http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/gff/data/AmoebaDB-39_EnuttalliP19.gff","39","Entamoeba nuttalli","Entamoeba nuttalli P19","P19",1076696,TRUE,"AmoebaDB","Keith Hughitt <keith.hughitt@nih.gov>","Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba","Entamoeba nuttalli P19 genome wide annotations","AmoebaDB 39 genome annotations for Entamoeba nuttalli P19","OrgDb","SQLiteFile","org.Entamoeba_nuttalli_P19.amoeba.db.sqlite","EuPathDB/OrgDb/3.8/org.Entamoeba_nuttalli_P19.amoeba.db.sqlite"
