BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-43_AcastellaniiNeff,16130,12207,GFF,http://AmoebaDB.org/common/downloads/release-43/AcastellaniiNeff/gff/data/AmoebaDB-43_AcastellaniiNeff.gff,43,Acanthamoeba castellanii str. Neff,1257118,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.str.Neff.v43,GRanges.Acanthamoeba.castellanii.str.Neff.v43.rda,amoebadb.Acanthamoeba.castellanii.str.Neff.v43,org.Acastellanii.str.Neff.v43.eg.db,TxDb.Acanthamoeba.castellanii.str.Neff.AmoebaDB.v43,str.Neff,Acanthamoeba castellanii str Neff,,,Acanthamoeba castellanii str. Neff,Combined information for Acanthamoeba castellanii str Neff,AmoebaDB 43 Combined information for Acanthamoeba castellanii str Neff,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.castellanii.str.Neff.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.castellanii.str.Neff.v43/graphInfo.rda
3.9,AmoebaDB-43_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-43/EdisparSAW760/gff/data/AmoebaDB-43_EdisparSAW760.gff,43,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.dispar.SAW760.v43,GRanges.Entamoeba.dispar.SAW760.v43.rda,amoebadb.Entamoeba.dispar.SAW760.v43,org.Edispar.SAW760.v43.eg.db,TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v43,SAW760,Entamoeba dispar SAW760,,,Entamoeba dispar SAW760,Combined information for Entamoeba dispar SAW760,AmoebaDB 43 Combined information for Entamoeba dispar SAW760,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.dispar.SAW760.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.dispar.SAW760.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaDS4,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaDS4/gff/data/AmoebaDB-43_EhistolyticaDS4.gff,43,Entamoeba histolytica DS4-868,885310,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.DS4.868.v43,GRanges.Entamoeba.histolytica.DS4.868.v43.rda,amoebadb.Entamoeba.histolytica.DS4.868.v43,org.Ehistolytica.DS4.868.v43.eg.db,TxDb.Entamoeba.histolytica.DS4.868.AmoebaDB.v43,DS4.868,Entamoeba histolytica DS4 868,,,Entamoeba histolytica DS4-868,Combined information for Entamoeba histolytica DS4 868,AmoebaDB 43 Combined information for Entamoeba histolytica DS4 868,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.DS4.868.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.DS4.868.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaHM1IMSS,8333,8306,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaHM1IMSS/gff/data/AmoebaDB-43_EhistolyticaHM1IMSS.gff,43,Entamoeba histolytica HM-1:IMSS,294381,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.v43,GRanges.Entamoeba.histolytica.HM.1IMSS.v43.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.v43,org.Ehistolytica.HM.1IMSS.v43.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v43,HM.1IMSS,Entamoeba histolytica HM 1IMSS,,,Entamoeba histolytica HM-1:IMSS,Combined information for Entamoeba histolytica HM 1IMSS,AmoebaDB 43 Combined information for Entamoeba histolytica HM 1IMSS,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.HM.1IMSS.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaHM1IMSS-A,6331,6316,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-43_EhistolyticaHM1IMSS-A.gff,43,Entamoeba histolytica HM-1:IMSS-A,885318,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v43,GRanges.Entamoeba.histolytica.HM.1IMSS.A.v43.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v43,org.Ehistolytica.HM.1IMSS.A.v43.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v43,HM.1IMSS.A,Entamoeba histolytica HM 1IMSS A,,,Entamoeba histolytica HM-1:IMSS-A,Combined information for Entamoeba histolytica HM 1IMSS A,AmoebaDB 43 Combined information for Entamoeba histolytica HM 1IMSS A,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaHM1IMSS-B,6311,6248,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-43_EhistolyticaHM1IMSS-B.gff,43,Entamoeba histolytica HM-1:IMSS-B,885319,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v43,GRanges.Entamoeba.histolytica.HM.1IMSS.B.v43.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v43,org.Ehistolytica.HM.1IMSS.B.v43.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v43,HM.1IMSS.B,Entamoeba histolytica HM 1IMSS B,,,Entamoeba histolytica HM-1:IMSS-B,Combined information for Entamoeba histolytica HM 1IMSS B,AmoebaDB 43 Combined information for Entamoeba histolytica HM 1IMSS B,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaHM3IMSS,7362,7158,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaHM3IMSS/gff/data/AmoebaDB-43_EhistolyticaHM3IMSS.gff,43,Entamoeba histolytica HM-3:IMSS,885315,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.3IMSS.v43,GRanges.Entamoeba.histolytica.HM.3IMSS.v43.rda,amoebadb.Entamoeba.histolytica.HM.3IMSS.v43,org.Ehistolytica.HM.3IMSS.v43.eg.db,TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v43,HM.3IMSS,Entamoeba histolytica HM 3IMSS,,,Entamoeba histolytica HM-3:IMSS,Combined information for Entamoeba histolytica HM 3IMSS,AmoebaDB 43 Combined information for Entamoeba histolytica HM 3IMSS,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.HM.3IMSS.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.HM.3IMSS.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaKU27,7469,7415,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaKU27/gff/data/AmoebaDB-43_EhistolyticaKU27.gff,43,Entamoeba histolytica KU27,885311,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU27.v43,GRanges.Entamoeba.histolytica.KU27.v43.rda,amoebadb.Entamoeba.histolytica.KU27.v43,org.Ehistolytica.KU27.v43.eg.db,TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v43,KU27,Entamoeba histolytica KU27,,,Entamoeba histolytica KU27,Combined information for Entamoeba histolytica KU27,AmoebaDB 43 Combined information for Entamoeba histolytica KU27,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.KU27.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU27.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaKU48,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaKU48/gff/data/AmoebaDB-43_EhistolyticaKU48.gff,43,Entamoeba histolytica KU48,885312,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU48.v43,GRanges.Entamoeba.histolytica.KU48.v43.rda,amoebadb.Entamoeba.histolytica.KU48.v43,org.Ehistolytica.KU48.v43.eg.db,TxDb.Entamoeba.histolytica.KU48.AmoebaDB.v43,KU48,Entamoeba histolytica KU48,,,Entamoeba histolytica KU48,Combined information for Entamoeba histolytica KU48,AmoebaDB 43 Combined information for Entamoeba histolytica KU48,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.KU48.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU48.v43/graphInfo.rda
3.9,AmoebaDB-43_EhistolyticaKU50,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaKU50/gff/data/AmoebaDB-43_EhistolyticaKU50.gff,43,Entamoeba histolytica KU50,885313,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU50.v43,GRanges.Entamoeba.histolytica.KU50.v43.rda,amoebadb.Entamoeba.histolytica.KU50.v43,org.Ehistolytica.KU50.v43.eg.db,TxDb.Entamoeba.histolytica.KU50.AmoebaDB.v43,KU50,Entamoeba histolytica KU50,,,Entamoeba histolytica KU50,Combined information for Entamoeba histolytica KU50,AmoebaDB 43 Combined information for Entamoeba histolytica KU50,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.KU50.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.KU50.v43/graphInfo.rda
