BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Taxon,Genus,Sp,Strain,BsgenomeFile,GrangesFile,OrganismdbiFile,OrgdbFile,TxdbFile,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath,md5sum
<<<<<<< HEAD
=======
3.1,AmoebaDB-46_AcastellaniiNeff,16130,12207,GFF,http://AmoebaDB.org/common/downloads/release-46/AcastellaniiNeff/gff/data/AmoebaDB-46_AcastellaniiNeff.gff,46,Acanthamoeba castellanii str. Neff,1257118,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.str.Neff.v46,GRanges.Acanthamoeba.castellanii.str.Neff.v46.rda,amoebadb.Acanthamoeba.castellanii.str.Neff.v46,org.Acastellanii.str.Neff.v46.eg.db,TxDb.Acanthamoeba.castellanii.str.Neff.AmoebaDB.v46,Acanthamoeba castellanii str Neff,Acanthamoeba,castellanii,str.Neff,EuPathDB/BSgenome/3.10/BSGenome.Acanthamoeba.castellanii.str.Neff.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Acanthamoeba.castellanii.str.Neff.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Acanthamoeba.castellanii.str.Neff.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Acastellanii.str.Neff.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Acanthamoeba.castellanii.str.Neff.AmoebaDB.v46.sqlite,Acanthamoeba castellanii str. Neff,Transcript information for Acanthamoeba castellanii str Neff,AmoebaDB 46 annotations for Acanthamoeba castellanii str Neff,OrgDb,SQLiteFile,org.Acastellanii.str.Neff.v46.eg.db,EuPathDB/OrgDb/3.10/org.Acastellanii.str.Neff.v46.eg.sqlite,5fa0cbba8345302a96b870055d1c6b5a
3.1,AmoebaDB-46_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-46/EdisparSAW760/gff/data/AmoebaDB-46_EdisparSAW760.gff,46,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.dispar.SAW760.v46,GRanges.Entamoeba.dispar.SAW760.v46.rda,amoebadb.Entamoeba.dispar.SAW760.v46,org.Edispar.SAW760.v46.eg.db,TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v46,Entamoeba dispar SAW760,Entamoeba,dispar,SAW760,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.dispar.SAW760.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.dispar.SAW760.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.dispar.SAW760.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Edispar.SAW760.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v46.sqlite,Entamoeba dispar SAW760,Transcript information for Entamoeba dispar SAW760,AmoebaDB 46 annotations for Entamoeba dispar SAW760,OrgDb,SQLiteFile,org.Edispar.SAW760.v46.eg.db,EuPathDB/OrgDb/3.10/org.Edispar.SAW760.v46.eg.sqlite,bb603d6fc26c35b3af6ca76d3eda9ac1
3.1,AmoebaDB-46_EhistolyticaHM1IMSS,8333,8306,GFF,http://AmoebaDB.org/common/downloads/release-46/EhistolyticaHM1IMSS/gff/data/AmoebaDB-46_EhistolyticaHM1IMSS.gff,46,Entamoeba histolytica HM-1:IMSS,294381,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.v46,GRanges.Entamoeba.histolytica.HM.1IMSS.v46.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.v46,org.Ehistolytica.HM.1IMSS.v46.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v46,Entamoeba histolytica HM 1IMSS,Entamoeba,histolytica,HM.1IMSS,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.histolytica.HM.1IMSS.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.histolytica.HM.1IMSS.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.histolytica.HM.1IMSS.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.histolytica.HM.1IMSS.AmoebaDB.v46.sqlite,Entamoeba histolytica HM-1:IMSS,Transcript information for Entamoeba histolytica HM 1IMSS,AmoebaDB 46 annotations for Entamoeba histolytica HM 1IMSS,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.v46.eg.db,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.v46.eg.sqlite,232393a33c771778b30d1ce7665b626c
3.1,AmoebaDB-46_EhistolyticaHM1IMSS-A,6331,6316,GFF,http://AmoebaDB.org/common/downloads/release-46/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-46_EhistolyticaHM1IMSS-A.gff,46,Entamoeba histolytica HM-1:IMSS-A,885318,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v46,GRanges.Entamoeba.histolytica.HM.1IMSS.A.v46.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v46,org.Ehistolytica.HM.1IMSS.A.v46.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v46,Entamoeba histolytica HM 1IMSS A,Entamoeba,histolytica,HM.1IMSS.A,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.histolytica.HM.1IMSS.A.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.histolytica.HM.1IMSS.A.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.histolytica.HM.1IMSS.A.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.A.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.histolytica.HM.1IMSS.A.AmoebaDB.v46.sqlite,Entamoeba histolytica HM-1:IMSS-A,Transcript information for Entamoeba histolytica HM 1IMSS A,AmoebaDB 46 annotations for Entamoeba histolytica HM 1IMSS A,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.A.v46.eg.db,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.A.v46.eg.sqlite,19dccbeaafb5f1b8ea2d049f34eb054e
3.1,AmoebaDB-46_EhistolyticaHM1IMSS-B,6311,6248,GFF,http://AmoebaDB.org/common/downloads/release-46/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-46_EhistolyticaHM1IMSS-B.gff,46,Entamoeba histolytica HM-1:IMSS-B,885319,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v46,GRanges.Entamoeba.histolytica.HM.1IMSS.B.v46.rda,amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v46,org.Ehistolytica.HM.1IMSS.B.v46.eg.db,TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v46,Entamoeba histolytica HM 1IMSS B,Entamoeba,histolytica,HM.1IMSS.B,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.histolytica.HM.1IMSS.B.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.histolytica.HM.1IMSS.B.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.histolytica.HM.1IMSS.B.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.B.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.histolytica.HM.1IMSS.B.AmoebaDB.v46.sqlite,Entamoeba histolytica HM-1:IMSS-B,Transcript information for Entamoeba histolytica HM 1IMSS B,AmoebaDB 46 annotations for Entamoeba histolytica HM 1IMSS B,OrgDb,SQLiteFile,org.Ehistolytica.HM.1IMSS.B.v46.eg.db,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.1IMSS.B.v46.eg.sqlite,e98045cf0ce1763f29197b5fbff028b5
3.1,AmoebaDB-46_EhistolyticaHM3IMSS,7362,7158,GFF,http://AmoebaDB.org/common/downloads/release-46/EhistolyticaHM3IMSS/gff/data/AmoebaDB-46_EhistolyticaHM3IMSS.gff,46,Entamoeba histolytica HM-3:IMSS,885315,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.3IMSS.v46,GRanges.Entamoeba.histolytica.HM.3IMSS.v46.rda,amoebadb.Entamoeba.histolytica.HM.3IMSS.v46,org.Ehistolytica.HM.3IMSS.v46.eg.db,TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v46,Entamoeba histolytica HM 3IMSS,Entamoeba,histolytica,HM.3IMSS,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.histolytica.HM.3IMSS.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.histolytica.HM.3IMSS.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.histolytica.HM.3IMSS.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.3IMSS.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.histolytica.HM.3IMSS.AmoebaDB.v46.sqlite,Entamoeba histolytica HM-3:IMSS,Transcript information for Entamoeba histolytica HM 3IMSS,AmoebaDB 46 annotations for Entamoeba histolytica HM 3IMSS,OrgDb,SQLiteFile,org.Ehistolytica.HM.3IMSS.v46.eg.db,EuPathDB/OrgDb/3.10/org.Ehistolytica.HM.3IMSS.v46.eg.sqlite,b3f9d65d8dd9bcadd99b4771fc1dc7ef
3.1,AmoebaDB-46_EhistolyticaKU27,7469,7415,GFF,http://AmoebaDB.org/common/downloads/release-46/EhistolyticaKU27/gff/data/AmoebaDB-46_EhistolyticaKU27.gff,46,Entamoeba histolytica KU27,885311,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU27.v46,GRanges.Entamoeba.histolytica.KU27.v46.rda,amoebadb.Entamoeba.histolytica.KU27.v46,org.Ehistolytica.KU27.v46.eg.db,TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v46,Entamoeba histolytica KU27,Entamoeba,histolytica,KU27,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.histolytica.KU27.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.histolytica.KU27.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.histolytica.KU27.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Ehistolytica.KU27.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.histolytica.KU27.AmoebaDB.v46.sqlite,Entamoeba histolytica KU27,Transcript information for Entamoeba histolytica KU27,AmoebaDB 46 annotations for Entamoeba histolytica KU27,OrgDb,SQLiteFile,org.Ehistolytica.KU27.v46.eg.db,EuPathDB/OrgDb/3.10/org.Ehistolytica.KU27.v46.eg.sqlite,046d651db0557b80dbdb0f387d0299ca
3.1,AmoebaDB-46_EinvadensIP1,12433,11955,GFF,http://AmoebaDB.org/common/downloads/release-46/EinvadensIP1/gff/data/AmoebaDB-46_EinvadensIP1.gff,46,Entamoeba invadens IP1,370355,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.invadens.IP1.v46,GRanges.Entamoeba.invadens.IP1.v46.rda,amoebadb.Entamoeba.invadens.IP1.v46,org.Einvadens.IP1.v46.eg.db,TxDb.Entamoeba.invadens.IP1.AmoebaDB.v46,Entamoeba invadens IP1,Entamoeba,invadens,IP1,EuPathDB/BSgenome/3.10/BSGenome.Entamoeba.invadens.IP1.v46/single_sequences.2bit,EuPathDB/GRanges/3.10/GRanges.Entamoeba.invadens.IP1.v46.rda,EuPathDB/OrganismDbi/3.10/amoebadb.Entamoeba.invadens.IP1.v46/graphInfo.rda,EuPathDB/OrgDb/3.10/org.Einvadens.IP1.v46.eg.sqlite,EuPathDB/TxDb/3.10/TxDb.Entamoeba.invadens.IP1.AmoebaDB.v46.sqlite,Entamoeba invadens IP1,Transcript information for Entamoeba invadens IP1,AmoebaDB 46 annotations for Entamoeba invadens IP1,OrgDb,SQLiteFile,org.Einvadens.IP1.v46.eg.db,EuPathDB/OrgDb/3.10/org.Einvadens.IP1.v46.eg.sqlite,799e84d966bfd1e66c75cdea83ecc8b6
