[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Aspergillus aculeatus</i>  ATCC 16872	11150	10828	1	322	-	4593	-	-	-	-	-	-	7863	-	-	-	-	JGI	FungiDB	18968	1	1	Aspergillus aculeatus ATCC 16872	690307	1.1	   35.42	0	http://FungiDB.org/common/downloads/Current_Release/Aaculeatus_ATCC16872/fasta/data/FungiDB-24_Aaculeatus_ATCC16872_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aaculeatus_ATCC16872/gff/data/FungiDB-24_Aaculeatus_ATCC16872.gff	http://FungiDB.org/common/downloads/Current_Release/Aaculeatus_ATCC16872/txt/FungiDB-24_Aaculeatus_ATCC16872Gene.txt	
<i>Aphanomyces astaci</i>  APO3	26715	26259	216	456	-	12142	-	-	-	-	-	-	24474	-	-	-	-	Broad	FungiDB	2743	1	1	Aphanomyces astaci APO3	null	2014-01-14	   75.84	0	http://FungiDB.org/common/downloads/Current_Release/Aastaci_APO3/fasta/data/FungiDB-24_Aastaci_APO3_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aastaci_APO3/gff/data/FungiDB-24_Aastaci_APO3.gff	http://FungiDB.org/common/downloads/Current_Release/Aastaci_APO3/txt/FungiDB-24_Aastaci_APO3Gene.txt	
<i>Albugo candida</i>  2VRR	15896	15824	4	72	-	5098	-	-	-	-	5475	-	13042	-	-	-	-	Saskatchewan	FungiDB	1	1	1	Albugo candida 2VRR	911350	2014-05-13	   34.56	1	http://FungiDB.org/common/downloads/Current_Release/Acandida_2VRR/fasta/data/FungiDB-24_Acandida_2VRR_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Acandida_2VRR/gff/data/FungiDB-24_Acandida_2VRR.gff	http://FungiDB.org/common/downloads/Current_Release/Acandida_2VRR/txt/FungiDB-24_Acandida_2VRRGene.txt	
<i>Ajellomyces capsulatus</i>  G186AR	9399	9233	1	166	-	4372	-	-	-	-	2633	-	7456	-	-	-	3	Broad	FungiDB	1245	1	0	Ajellomyces capsulatus G186AR	447093	2009-03-23	   30.44	0	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_G186AR/fasta/data/FungiDB-24_Acapsulatus_G186AR_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_G186AR/gff/data/FungiDB-24_Acapsulatus_G186AR.gff	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_G186AR/txt/FungiDB-24_Acapsulatus_G186ARGene.txt	
<i>Ajellomyces capsulatus</i>  NAm1	9494	9313	14	181	-	4501	-	-	-	-	2397	-	8392	-	-	-	2	Broad	FungiDB	1090	1	1	Ajellomyces capsulatus NAm1	339724	2009-08-10	   33.01	0	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_NAm1/fasta/data/FungiDB-24_Acapsulatus_NAm1_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_NAm1/gff/data/FungiDB-24_Acapsulatus_NAm1.gff	http://FungiDB.org/common/downloads/Current_Release/Acapsulatus_NAm1/txt/FungiDB-24_Acapsulatus_NAm1Gene.txt	
<i>Aspergillus carbonarius</i>  ITEM 5010	11887	11624	4	263	-	6521	-	-	-	-	189	-	10922	-	-	-	-	JGI	FungiDB	17561	1	1	Aspergillus carbonarius ITEM 5010	602072	3	   36.29	0	http://FungiDB.org/common/downloads/Current_Release/Acarbonarius_ITEM5010/fasta/data/FungiDB-24_Acarbonarius_ITEM5010_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Acarbonarius_ITEM5010/gff/data/FungiDB-24_Acarbonarius_ITEM5010.gff	http://FungiDB.org/common/downloads/Current_Release/Acarbonarius_ITEM5010/txt/FungiDB-24_Acarbonarius_ITEM5010Gene.txt	
<i>Aspergillus clavatus</i>  NRRL 1	9715	9165	64	550	-	5932	-	-	-	-	-	-	8848	-	-	-	-	JCVI	FungiDB	10432	1	1	Aspergillus clavatus NRRL 1	344612	2011-07-05	   27.89	1	http://FungiDB.org/common/downloads/Current_Release/Aclavatus_NRRL1/fasta/data/FungiDB-24_Aclavatus_NRRL1_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aclavatus_NRRL1/gff/data/FungiDB-24_Aclavatus_NRRL1.gff	http://FungiDB.org/common/downloads/Current_Release/Aclavatus_NRRL1/txt/FungiDB-24_Aclavatus_NRRL1Gene.txt	
<i>Aspergillus flavus</i>  NRRL3357	13731	13485	2	246	-	7093	-	-	-	-	4591	-	12525	-	-	-	1	JCVI	FungiDB	17953	1	1	Aspergillus flavus NRRL3357	332952	2010-09-03	   36.89	0	http://FungiDB.org/common/downloads/Current_Release/Aflavus_NRRL3357/fasta/data/FungiDB-24_Aflavus_NRRL3357_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aflavus_NRRL3357/gff/data/FungiDB-24_Aflavus_NRRL3357.gff	http://FungiDB.org/common/downloads/Current_Release/Aflavus_NRRL3357/txt/FungiDB-24_Aflavus_NRRL3357Gene.txt	
<i>Aspergillus fumigatus</i>  Af293	9981	9784	9	197	-	9783	-	-	-	-	227	137	9767	-	-	-	21	AspGD	FungiDB	10380	1	1	Aspergillus fumigatus Af293	330879	s03-m04-r13	   29.42	1	http://FungiDB.org/common/downloads/Current_Release/Afumigatus_Af293/fasta/data/FungiDB-24_Afumigatus_Af293_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Afumigatus_Af293/gff/data/FungiDB-24_Afumigatus_Af293.gff	http://FungiDB.org/common/downloads/Current_Release/Afumigatus_Af293/txt/FungiDB-24_Afumigatus_Af293Gene.txt	
<i>Aphanomyces invadans</i>  NJM9701	20983	20816	23	167	-	10279	-	-	-	-	-	-	19710	-	-	-	-	Broad	FungiDB	2039	1	1	Aphanomyces invadans NJM9701	null	2014-01-14	   71.40	0	http://FungiDB.org/common/downloads/Current_Release/Ainvadans_NJM9701/fasta/data/FungiDB-24_Ainvadans_NJM9701_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ainvadans_NJM9701/gff/data/FungiDB-24_Ainvadans_NJM9701.gff	http://FungiDB.org/common/downloads/Current_Release/Ainvadans_NJM9701/txt/FungiDB-24_Ainvadans_NJM9701Gene.txt	
